Account,total_pnl,mean_daily_pnl,std_daily_pnl,active_days,avg_trade_size,mean_win_rate,size_segment,activity_segment,cv,consistency_segment,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,66676.242499125,150401.79734551374,24,33569.102223713766,0.7706911497254099,High size,Infrequent,2.255702956678872,Consistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,920.8715483461539,3603.0422910248762,52,4359.8309302466505,0.7746694551728613,Low size,Frequent,3.9126437313605646,Inconsistent,2
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,9975.2796366,20797.39604487325,20,8334.762260556681,1.0,High size,Infrequent,2.084893537076008,Consistent,1
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,14876.49544075,32725.08326015729,28,2525.945975144083,1.0,Low size,Infrequent,2.1997844445618604,Consistent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,962.5416502056074,7430.255413150263,321,16038.456425115373,0.9598035894545963,High size,Frequent,7.719411842140124,Inconsistent,3
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,21549.296287589743,42171.74469920306,39,27603.84521556422,0.8668135348666396,High size,Infrequent,1.956989413315079,Consistent,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,2313.4301440851063,7470.04650016332,47,867.1703611532234,0.9533730158730158,Low size,Frequent,3.228991599016924,Inconsistent,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,5546.761692753847,23406.44232359817,65,4688.041802175383,0.7883155080213904,High size,Frequent,4.219839181873592,Inconsistent,2
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,2596.5438815821917,4762.374293945578,146,3354.2092903010684,0.8804709200721843,Low size,Frequent,1.8341204736519405,Consistent,2
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,1213.215887148148,5511.299034566663,54,5475.174210575846,0.8301391760610106,High size,Frequent,4.542719142527737,Inconsistent,2
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,4523.0413020666665,8542.12051178745,15,2959.4760618012087,1.0,Low size,Infrequent,1.88857893203062,Consistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,8372.588272222656,39920.90858902897,256,4495.49655852293,0.7997419813230227,Low size,Frequent,4.768048695464066,Inconsistent,3
0xbaaaf6571ab7d571043ff1e313a9609a10637864,710995.147369,44437.1967105625,87515.76196558433,16,5235.430003230972,0.9213938411669368,High size,Infrequent,1.9694258063939094,Consistent,1
